id,文具
279,笔袋
279,印台
279,荧光笔
279,圆珠笔
279,铅笔
279,无线装订本
279,毛笔
279,中性笔
280,卡片袋
281,剪刀
281,复写纸
282,胶带
282,档案袋
282,会议记录本
282,订书机
282,修正液
282,切纸刀
282,打孔器
282,图纸夹
282,中性笔
282,便利贴
283,无碳复写票据
284,笔袋
284,橡皮
285,档案袋
285,起钉器
285,铅笔
285,仪尺
285,中性笔
285,便利贴
286,螺旋本
286,笔筒
286,剪刀
286,软笔
286,中性笔
287,卡片袋
288,笔袋
288,毛笔
290,笔袋
290,圆珠笔
290,铅笔
290,票据夹
290,修正带
291,仪尺
292,胶带
292,卡片袋
292,无孔文件夹
292,号码机
292,胶棒
292,资料册
292,圆珠笔
292,中性笔
293,凭证单据
293,墨水笔芯
293,文件套
293,圆珠笔
293,活页本
293,名片盒
293,中性笔
293,便利贴
294,文件柜
294,资料册
294,圆珠笔
294,账本账册
294,仪尺
294,无线装订本
294,便利贴
295,档案盒
295,手提金库
295,活页本
295,名片盒
295,中性笔
296,胶带
296,笔袋
296,打孔器
296,便利贴
297,电脑夹
297,用友耗材
298,蜡笔
299,胶棒
300,档案盒
300,笔袋
300,圆珠笔
300,便利贴
301,铅笔
301,仪尺
302,档案盒
302,卡片袋
302,会议记录本
302,文件柜
302,印台
302,钥匙管理
302,切纸刀
302,号码机
302,图纸夹
302,铅笔
302,活页本
302,台笔
302,便利贴
303,卡片袋
304,便签纸
305,票夹
305,印章箱
305,胶棒
305,荧光笔
305,无线装订本
306,蜡笔
306,水彩笔
306,打孔器
306,橡皮
306,板夹
307,胶带
307,胶水
308,档案盒
308,无碳复写票据
308,剪刀
308,板夹
309,蜡笔
309,无孔文件夹
309,活页本
309,仪尺
309,橡皮
309,中性笔
309,便利贴
311,无孔文件夹
311,书立
311,修正带
311,中性笔
312,档案袋
312,相册
312,笔袋
312,剪刀
312,账本账册
312,毛笔
313,炭笔
314,便签纸
314,分类文件夹
314,公事包
315,档案袋
315,圆珠笔
315,便利贴
316,胶带
316,证件卡
317,票据夹
317,无线装订本
317,橡皮
319,卡片袋
319,笔袋
319,电脑夹
319,文件篮
319,仪尺
319,无线装订本
319,便利贴
320,记号笔
320,活页本
321,档案袋
321,订书机
322,卡片袋
322,有孔文件夹
322,铅笔
323,橡皮
323,中性笔
324,无孔文件夹
325,胶带
325,档案袋
325,印台
325,圆珠笔
325,便利贴
326,手提金库
326,台座系列
326,水彩笔
326,会议记录本
326,白板笔
326,文件套
326,修正液
326,圆珠笔
326,杂志架
326,活页本
326,CD包/册
327,钥匙管理
327,文件套
328,铅笔
328,修正带
328,无线装订本
328,橡皮
328,便利贴
329,蜡笔
329,印章箱
329,计算器
329,分类文件夹
329,修正液
329,圆珠笔
329,铅笔
329,无线装订本
329,名片盒
330,墨水笔芯
330,票据夹
330,板夹
331,号码机
331,铅笔
331,无线装订本
331,便利贴
332,无线装订本
332,CD包/册
333,便利贴
334,无线装订本
335,胶带
336,墨水笔芯
336,公事包
336,仪尺
337,削笔刀
337,笔袋
337,笔筒
337,分类文件夹
337,复写纸
337,无线装订本
337,软笔
338,修正带
339,胶棒
340,会议记录本
340,台历架
340,印台
340,圆珠笔
340,资料架
340,中性笔
341,卡片袋
341,笔袋
341,仪尺
341,中性笔
342,印台
342,铅笔
343,拉链袋
343,票据夹
344,资料册
345,削笔刀
345,证件卡
345,票夹
345,水彩笔
345,会议记录本
345,剪刀
345,铅笔
345,无线装订本
346,证书系列
346,圆珠笔
346,CD包/册
347,笔袋
348,台座系列
348,印台
348,中性笔
349,证书系列
349,皮面本
349,活页本
349,票据夹
349,中性笔
350,便签纸
350,螺旋本
350,橡皮
350,中性笔
351,档案盒
351,墨水笔芯
351,复写纸
352,手提金库
352,修正带
352,软笔
352,名片盒
353,卡片袋
354,卡片袋
354,美工刀
354,名片盒
355,蜡笔
355,订书机
355,文件套
355,活页本
356,无线装订本
356,中性笔
357,档案盒
358,支票夹
359,便签纸
359,铅笔
360,钥匙管理
360,中性笔
361,中性笔
362,笔袋
362,会议记录本
362,台笔
362,中性笔
363,笔筒
363,剪刀
364,档案袋
364,证书系列
364,印台
364,复写纸
364,账本账册
364,皮面本
364,仪尺
364,板夹
365,订书机
365,活页本
365,橡皮
365,名片盒
365,中性笔
366,印台
366,号码机
366,剪刀
366,活页本
366,仪尺
366,名片盒
366,便利贴
367,手提金库
367,相册
367,会议记录本
367,白板笔
367,圆珠笔
367,打孔器
367,活页本
367,资料架
367,中性笔
368,便签纸
368,档案袋
368,电脑夹
368,剪刀
368,铅笔
369,电脑夹
369,会议记录本
369,文件柜
369,支票夹
369,打孔器
369,活页本
370,便利贴
371,胶带
371,圆珠笔
372,手提金库
372,板夹
373,手提金库
373,电脑夹
374,胶带
374,台座系列
374,螺旋本
374,圆珠笔
375,胶棒
375,铅笔
376,笔袋
376,计算器
376,钥匙管理
376,剪刀
376,铅笔
376,软笔
376,名片盒
376,中性笔
377,胶带座
377,号码机
377,票据夹
377,中性笔
378,胶带
378,台座系列
378,铅笔
378,橡皮
379,胶带
380,台座系列
380,便利贴
381,胶棒
382,电脑夹
383,便签纸
383,专用印章
384,证书系列
384,蜡笔
384,票据装订机
384,支票夹
384,分类文件夹
384,号码机
384,荧光笔
384,无碳复写票据
384,名片盒
385,螺旋本
385,墨水笔芯
385,分类文件夹
385,无碳复写票据
385,票据夹
385,修正带
386,水彩笔
386,圆珠笔
386,剪刀
386,仪尺
386,修正带
387,分类文件夹
387,号码机
387,剪刀
388,包装用品
388,铅笔
388,仪尺
388,橡皮
389,墨水笔芯
390,削笔刀
390,胶带座
390,荧光笔
390,中性笔
391,电脑夹
392,修正带
393,胶带
393,剪刀
393,铅笔
393,修正带
393,无线装订本
393,便利贴
394,无线装订本
395,钉针系列
396,电脑夹
396,仪尺
396,中性笔
397,印章箱
397,便利贴
398,台历架
398,订书机
398,钥匙管理
398,铅笔
399,中性笔
400,公事包
400,圆珠笔
400,名片盒
400,中性笔
401,台历架
401,钥匙管理
401,号码机
402,圆珠笔
402,美工刀
403,台座系列
403,电脑夹
403,笔筒
403,书立
403,铅笔
403,修正带
403,钉针系列
403,中性笔
403,便利贴
404,圆珠笔
404,铅笔
404,中性笔
405,圆珠笔
405,橡皮
406,白板系列
406,胶带
406,票夹
406,票据夹
407,资料架
408,炭笔
409,印台
409,便利贴
410,卡片袋
411,胶带
412,便签纸
412,胶带
412,文件套
412,圆珠笔
412,铅笔
412,中性笔
413,笔袋
413,荧光笔
413,圆珠笔
413,修正带
